id,created_at,text
1351582191336247299,2021-01-19 17:28:00,Join @watershedwrite1 tonight at 6pm on CKWR FM985 for their first episode! They will be joined by #localauthor… https://t.co/La67kFYJZu
1351546204744777728,2021-01-19 15:05:00,"Join writer Kim Thúy and readers from across Canada for a Livestream Event to discuss her novel, Vi, at 7:00pm toni… https://t.co/vth6edf7Ik"
1351350781925093377,2021-01-19 02:08:27,@swalneck Hahaha YES!
1351303857817542657,2021-01-18 23:02:00,Hey ladies! This one is just for you. @YMCAImmigrant offers some great online communities for newcomer women to con… https://t.co/IbEC3Zt2kn
1351256176059678720,2021-01-18 19:52:32,"RT @renisoncollege: Did you miss our session with Giller Prize-winning author Souvankham Thammavongsa? If you did, or want to check it out…"
1351218293403598848,2021-01-18 17:22:00,"We've got three great #BookClubs for kids &amp; families this February, including two @ForestofReading nominated titles… https://t.co/naElk6Ou7V"
1351176937780240390,2021-01-18 14:37:40,"RT @CMHA_NTL: Is Blue Monday really the most depressing day of the year? Scientifically speaking, no. What is very real, however, is Season…"
1351176365190623234,2021-01-18 14:35:23,"RT @CMHAWW: As colder winter days arrive, you may start to feel the winter blues. Here’s one way to take care of your #mentalhealth this se…"
1350917310148612096,2021-01-17 21:26:00,"You may have to stay home, but the library is always at your fingertips. Our Digital Library is open 24/7 to access… https://t.co/KD7ckUveqh"
1350865930176356355,2021-01-17 18:01:50,#FamilyLiteracyKW is coming up soon and we are excited to offer lots of fun activities. Check out @KitchLibrary pos… https://t.co/4qP9BV2Ssm
1350831998282117122,2021-01-17 15:47:00,"We are teaming up with @Laurier to bring you the brand new virtual lecture series, Laurier Ed Talks. First up is Ed… https://t.co/DIIIv0AZiZ"
1350583862926086144,2021-01-16 23:21:00,The 2021 #CanadaReads Champions have made their choices! Meet the contenders for this year then tune in for the liv… https://t.co/hc28e7ZUED
1350518180293197824,2021-01-16 19:00:00,WPL blogger Penny D. is not really a hockey fan and had never heard of Willie O'Ree but that didn't stop her from b… https://t.co/CrP71aGVc3
1350503333048455168,2021-01-16 18:01:00,@YMCAImmigrant provides programs and resources for #Newcomers to Canada. Join one of their Citizenship Support Grou… https://t.co/BBfsXtZm1C
1350465080287178758,2021-01-16 15:29:00,"Since you can't browse books at the library right now, why not let us do it for you! Order a book bundle for adults… https://t.co/PI67cd9SKb"
