VolunteerID,FSA,AgeGroup,YearsVolunteeredGroup,OccasionalVolunteer,RegularVolunteer,Donor,FirstDonationYear,NumberDonations,SumDonationsGroup,"Population,-2016",age_distribution_0-to-14-years,age_distribution_15-to-64-years,age_distribution_65-years-and-over,age_distribution_85-years-and-over,age_Average-age-of-the-population,age_Median-age-of-the-population,family_%-married-or-living-common-law,family_Average-size-of-census-families,family_%-census-families-that-are-couples,family_%-couples-with-children,income_Median-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Average-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Median-total-income-of-households-in-2015-($),"income_Prevalence-of-low-income-based-on-the-Low-income-measure,-after-tax-(LIM-AT)-(%)",citizenship_%-canadian-citizens,citizenship_%-immigrants,dwellings_%-owners,dwellings_%-renters,"education_%-no-certificate,-diploma-or-degree",education_%-high-school-diploma,"education_%-postsecondary-certificate,-diploma-or-degree",education_%-apprenticeship-or-trades-certificate-or-diploma,education_%-college-certificate-or-diplome,education_%-bachelor-or-above,labour_force_Participation-rate,labour_force_Employment-rate,labour_force_Unemployment-rate
59,N3A,40 - 49,less than 1,1,0,N,,,,16123,0.208,0.606,0.186,0.023,40.1,40.1,0.698394046,3,0.901639344,0.523863636,57836,64347,93899,0.054,0.982483578,0.092899593,0.864249578,0.135750422,0.178033307,0.261697066,0.560269627,0.090800952,0.266455194,0.186756542,0.693,0.668,0.036
60,N2M,50 - 59,1 - 3 years,1,0,N,,,,33221,0.162,0.682,0.156,0.02,39.9,38.2,0.526041667,2.8,0.778804348,0.473831124,46630,53300,56576,0.203,0.911778081,0.265767132,0.498106713,0.501549053,0.223128512,0.29073772,0.486133768,0.064527823,0.195577307,0.210802973,0.649,0.595,0.084
61,N2J,30 - 39,less than 1,1,0,N,,,,18659,0.114,0.679,0.207,0.039,42.5,39.3,0.49319625,2.7,0.843054083,0.396226415,52643,71973,60898,0.173,0.884719956,0.201468189,0.573742047,0.425679584,0.14868179,0.290619252,0.560392397,0.058859595,0.156652361,0.326793378,0.622,0.58,0.069
62,N2H,40 - 49,less than 1,1,0,Y,1993,3,$100 - $250,21058,0.131,0.71,0.159,0.027,41.5,39.9,0.505602624,2.7,0.81981982,0.418681319,50609,57209,58335,0.154,0.948039452,0.151311042,0.497320994,0.502679006,0.189054726,0.265616363,0.545328911,0.065229409,0.200939746,0.264510779,0.684,0.64,0.063
63,N2G,unknown,1 - 3 years,1,0,N,,,,13407,0.11,0.721,0.169,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126,56511,48505,0.229,0.912591452,0.237966885,0.334517045,0.665482955,0.180242634,0.267764298,0.551993068,0.047227036,0.191507799,0.29982669,0.649,0.596,0.082
64,N2T,unknown,1 - 3 years,1,0,Y,2008,7,"$500 - $2,000",20701,0.187,0.697,0.116,0.013,38.1,39.5,0.631203566,3.1,0.869674185,0.637848223,71976,84436,109496,0.091,0.904645477,0.304964539,0.885174419,0.114825581,0.109876914,0.241368958,0.649054338,0.034223957,0.156109276,0.438306815,0.695,0.647,0.069
65,N2B,50 - 59,1 - 3 years,0,1,N,,,,16501,0.137,0.669,0.193,0.026,43.3,45,0.560238848,2.8,0.816580311,0.469543147,50399,57187,67375,0.101,0.965475099,0.224633252,0.623504574,0.375791696,0.203605514,0.303994344,0.492753623,0.084482149,0.237539767,0.156592435,0.65,0.605,0.07
66,N2H,unknown,1 - 3 years,1,0,Y,1990,27,"$2,000 + ",21058,0.131,0.71,0.159,0.027,41.5,39.9,0.505602624,2.7,0.81981982,0.418681319,50609,57209,58335,0.154,0.948039452,0.151311042,0.497320994,0.502679006,0.189054726,0.265616363,0.545328911,0.065229409,0.200939746,0.264510779,0.684,0.64,0.063
67,N2T,70 + ,less than 1,1,0,N,,,,20701,0.187,0.697,0.116,0.013,38.1,39.5,0.631203566,3.1,0.869674185,0.637848223,71976,84436,109496,0.091,0.904645477,0.304964539,0.885174419,0.114825581,0.109876914,0.241368958,0.649054338,0.034223957,0.156109276,0.438306815,0.695,0.647,0.069
68,N2J,30 - 39,less than 1,1,0,N,,,,18659,0.114,0.679,0.207,0.039,42.5,39.3,0.49319625,2.7,0.843054083,0.396226415,52643,71973,60898,0.173,0.884719956,0.201468189,0.573742047,0.425679584,0.14868179,0.290619252,0.560392397,0.058859595,0.156652361,0.326793378,0.622,0.58,0.069
